name,img,points
云南特色腌菜肉包,https://i2.chuimg.com/c1cd51d2ba274bcc90a6bc5f190c08fa_1024w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
泡嫩草果（云南文山泡菜）,https://i2.chuimg.com/7c13fce5d38747fc83dc5e8372141d0d_1151w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
滇味懒豆腐,https://i2.chuimg.com/6145f7aabcda4d6cbb94571b4f82aa71_994w_746h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南味道临沧木瓜鸡,https://i2.chuimg.com/d07621a83dd34d4e9d19845408a5828c_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南豆面汤圆,https://i2.chuimg.com/981bd2c8a3ac459288f7ee92d37ed74d_992w_744h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南粉蒸排骨,https://i2.chuimg.com/0a5ea322b5d3418998c80476d0ac9999_1024w_768h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【云南特色菜】枸杞尖炒鸡蛋,https://i2.chuimg.com/754077c774c94213a8cc7fb81efce6fb_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
秋天的第一杯0蔗糖醇香玫瑰普洱奶茶【第35集】,https://i2.chuimg.com/6c5cf42670bc4878be2ca558b76e3e4b_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
（纯素食）云南过桥米线,https://i2.chuimg.com/c93ab2fcb9184a47ae52215093931228_2089w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
清炒小甘露（云南菜）,https://i2.chuimg.com/dd05532fce8a435390817f3eec5cb6b0_748w_1000h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
滇味薄荷炸排骨,https://i2.chuimg.com/48894bb05bfa41bca0fb621fa626e0fe_600w_397h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.9
云南小锅米线,https://i2.chuimg.com/d8824840a1664f318c105f6d4f9f55d0_960w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南稀豆粉+油条,https://i2.chuimg.com/c887f8c14eea44e88db5e1a05fe4c746_1080w_1619h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
爆炒干巴菌（云南名菜，香飘满屋）,https://i2.chuimg.com/86bc751f73504fd6b033eb904e051122_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南小锅米线｜10分钟微酸辣巨清新，我愿意每天都吃！,https://i2.chuimg.com/50b1c81b3d0a4aa1a8aa907febfa6309_1920w_1080h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
🍊【陈皮普洱茶】｜温润健脾，可以止咳的茶🍂,https://i2.chuimg.com/ddfc0960795d4772be399ed3e067995b_1280w_852h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
