name,img,points
老北京风味麻酱烧饼,https://i2.chuimg.com/deb708aae2a740c29ef5c3f118d0bcd8_912w_684h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
自己动手做火锅蘸料,https://i2.chuimg.com/8c969ebc8a0445bca48ea87db1df97b7_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
地道老北京羊蝎子,https://i2.chuimg.com/ae57adf74aca43aea7605a0953386edf_1008w_756h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
老北京炸酱面（小碗干炸）,https://i2.chuimg.com/2845c1afe62940d08d9dbf72f0d115f6_3816w_2862h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.2
懒人版北京烤鸭（鸭胸肉,https://i2.chuimg.com/8326a2036ae644268f267561b1ebb90d_750w_750h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.2
抻出来的千层麻酱烧饼,https://i2.chuimg.com/59f01565a1844c1e9c6924dc83de4c24_825w_613h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
地道老北京扁豆焖面,https://i2.chuimg.com/20caa28acb664a0ca6354886906f7ace_3480w_2784h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
老北京驴打滚,https://i2.chuimg.com/f1d50bd4ccef40a3bf695097c4094b52_473w_467h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京打卤面,https://i2.chuimg.com/b714765cf9b440249860022a8963cc8e_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
保证第一次做就成功的老北京驴打滚，好学好吃好看,https://i2.chuimg.com/3e6dd04984c74aa994a94a97a8c2ddd4_2534w_1242h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.2
老北京牛肉烫饭,https://i2.chuimg.com/7a351e675fa74f63ad9db863cb26e8cf_1170w_1293h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京小吃---驴打滚,https://i2.chuimg.com/9fada67a30b64bc89bd00f5be121cb54_1616w_1080h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.2
北京酱肉,https://i2.chuimg.com/083dd3171f724a0bbdf39c8cfd08ec9c_1064w_2304h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
1元成本一大罐｜北京烤鸭，山东煎饼标配｜0技巧自制甜面酱,https://i2.chuimg.com/983509c011c0490f84e60d5adc543b8a_1214w_1618h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
中国瑞士卷【老北京肉龙】，在家一揉就搞定！,https://i2.chuimg.com/eeb8bcaf43264fbdb8a893e6f30c63b2_1080w_1408h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
老北京呛拌心里美（满堂红）,https://i2.chuimg.com/f0381e472e3a424f893ed8cce52c4e32_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京果子面包/吐司,https://i2.chuimg.com/90d503227d3449e2992f45094c8998d9_1170w_2532h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
七十年前的北京家常菜,https://i2.chuimg.com/fe712b3ccd7a4c0aa4f939a5b97fe742_1150w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京爆肚（超级简单）,https://i2.chuimg.com/ca195da4a87b4075bce29b8f910ff325_4032w_3024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面做法，跟北京的姥姥学的,https://i2.chuimg.com/9f28c49a26fa4407abfc7dd7fcccec77_943w_2048h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炒合菜,https://i2.chuimg.com/843186e925ce4648ba8fa842e687ccaa_1280w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
零厨艺家庭版北京烤鸭,https://i2.chuimg.com/a6eaf26b54e242989c6a65f2d901f411_1337w_1002h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.8
北京冬奥会美食【蟹柳鸡蛋烧】,https://i2.chuimg.com/ab5dcbdfa9e74830bb4df0787480cf4f_974w_798h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京冬奥会运动员菜单（部分）,https://i2.chuimg.com/ed0e330661474658a485f4c1a62cb74c_681w_2367h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱手擀面,https://i2.chuimg.com/9ee4831670e04d009bc37f559505ffac_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京菜团子,https://i2.chuimg.com/2ee97e7075e84473bf3c3d13129ac162_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京鸡蛋炸酱-拌饭拌面都OK,https://i2.chuimg.com/0a404514c69c45caa6575d3afdd513ab_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
在北京尝过就念念不忘的门钉肉饼,https://i2.chuimg.com/167dbe3f9d7e466c94c659ee5d4e1379_1280w_945h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
传统老北京炸酱面,https://i2.chuimg.com/987d82ab504b416cbb581a4c247b6805_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
放三天也不硬的老北京驴打滚,https://i2.chuimg.com/fcd9f81ba88d440a887eab002b0ab28c_1923w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京咸菜丝,https://i2.chuimg.com/55e225629e664061998bf7de418c2d0b_1080w_1440h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京肉饼,https://i2.chuimg.com/04f5ea5400914e84819e585c8b1f861f_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京名菜它似蜜，清真馆子老味道，羊肉香甜透着酸，真够味儿,https://i2.chuimg.com/9d529a72c93a47af953597c1bd59a129_1080w_608h.webp?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京打卤面,https://i2.chuimg.com/5a2a048124414dfeb483847eef9370cf_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
最地道的老北京炸酱面,https://i2.chuimg.com/a72fdcfadae54ae3a4807aa8b86121a0_1080w_1080h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
食句咯北京风味,https://i2.chuimg.com/baa034c697bb47ec90095ae4faf95406_1080w_1440h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京三鲜打卤面,https://i2.chuimg.com/5fb21c7a6ec04560bd070c2480fda513_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京通州特产让豆腐,https://i2.chuimg.com/708a44257b5c499fb31574c2e78eb4eb_537w_537h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京麻将烧饼,https://i2.chuimg.com/953d561e6ccd4d7badd16049a9dbd542_1707w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京麻酱烧饼,https://i2.chuimg.com/1fd32b60bab44d2ebeb32d9b0264a5f7_688w_428h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京春节必备菜——抄咸什儿,https://i2.chuimg.com/5cfcf22035f34ba6b076a401bd9d2051_920w_1352h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
家庭版北京炸酱面,https://i2.chuimg.com/643846602a5a4d569a6acacda90b3d9f_1280w_1706h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面之秘制炸酱～～胜过外面餐馆的炸酱好吃一百倍,https://i2.chuimg.com/a6fe7f4842514c3c91d4f03fe5b9ef89_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
老北京卤煮,https://i2.chuimg.com/f6b07c34ab7d40f8afbc21b8208ab182_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
美味的北京老饭：炒傀儡,https://i2.chuimg.com/58a56ed973d4405ca46fc94ab350e41b_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京小吃杏仁豆腐［传统甜品］,https://i2.chuimg.com/e5b7f5ab5fa54cc39e3747e62c1dbedd_1156w_868h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
过年必备北京版素什锦,https://i2.chuimg.com/25f189489e954c5b90173d85ee1b8a7b_4032w_3024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
正宗传统老北京炸酱面（小碗干炸炸酱面）家常菜,https://i2.chuimg.com/d3104680ee4d42a19df3139cb3e2019d_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京打卤面,https://i2.chuimg.com/224fc8896e4e418aad67863ca7c1a082_1984w_992h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
家常老北京炸酱面,https://i2.chuimg.com/17623000d0244477afe138c1fca9919c_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京鸡蛋酱油汆面（经典）,https://i2.chuimg.com/a498bb8d6ec9417fa92ab1561d77fbb0_756w_756h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京芥末墩儿-1天简单快手版,https://i2.chuimg.com/31e320c2559740c8a37c3421d0b41340_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
野生枸杞叶炒鸡蛋，爱上北京的十个理由之一l,https://i2.chuimg.com/dc14432abf434456b56cc0a389bf846a_684w_912h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面,https://i2.chuimg.com/cc3ad7a8ab2e44b0ba9f4b4c04b3503f_639w_512h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.8
家里的味道，老北京炸酱面,https://i2.chuimg.com/30e23fe812f04c2c8679e081eb78e22d_1170w_1560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
油焖春雷笋，吃出个北京春天,https://i2.chuimg.com/b20d2613457240a39dcdce7806c97593_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
正宗老北京炸酱面（20分钟吃上）,https://i2.chuimg.com/ab8f3fb7bb1741d5bbec9a198fcf2dbf_1000w_750h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
